state	year	county	precinct	g2010_STS_dv	g2010_STS_rv	g2010_STS_tv	g2010_STH_dv	g2010_STH_rv	g2010_STH_tv	g2010_USH_dv	g2010_USH_rv	g2010_USH_tv
"MT"	2010	"Beaverhead"	"PRECINCT 01"					262	262	119	180	299
"MT"	2010	"Beaverhead"	"PRECINCT 02"					449	449	86	379	465
"MT"	2010	"Beaverhead"	"PRECINCT 03"					464	464	89	397	486
"MT"	2010	"Beaverhead"	"PRECINCT 04"					150	150	31	119	150
"MT"	2010	"Beaverhead"	"PRECINCT 05"					94	94	9	92	101
"MT"	2010	"Beaverhead"	"PRECINCT 06"					359	359	97	275	372
"MT"	2010	"Beaverhead"	"PRECINCT 07"					211	211	33	181	214
"MT"	2010	"Beaverhead"	"PRECINCT 08"					59	59	6	54	60
"MT"	2010	"Beaverhead"	"PRECINCT 09"					314	314	71	254	325
"MT"	2010	"Beaverhead"	"PRECINCT 12"					353	353	130	275	405
"MT"	2010	"Beaverhead"	"PRECINCT 14"					215	215	92	159	251
"MT"	2010	"Beaverhead"	"PRECINCT 17"					64	64	11	57	68
"MT"	2010	"Beaverhead"	"PRECINCT 19"					69	69	12	66	78
"MT"	2010	"Beaverhead"	"PRECINCT 20"					59	59	7	58	65
"MT"	2010	"Beaverhead"	"PRECINCT 21"					110	110	19	96	115
"MT"	2010	"Beaverhead"	"PRECINCT 23"					100	100	28	74	102
"MT"	2010	"Big Horn"	"PRECINCT #01"				61	116	177	62	105	167
"MT"	2010	"Big Horn"	"PRECINCT #02"				46	55	101	45	46	91
"MT"	2010	"Big Horn"	"PRECINCT #03"				7	66	73	10	60	70
"MT"	2010	"Big Horn"	"PRECINCT #03E"				3	36	39	5	34	39
"MT"	2010	"Big Horn"	"PRECINCT #04"				12	98	110	15	93	108
"MT"	2010	"Big Horn"	"PRECINCT #04E"				13	50	63	26	41	67
"MT"	2010	"Big Horn"	"PRECINCT #05"				109	104	213	156	50	206
"MT"	2010	"Big Horn"	"PRECINCT #06"				2	60	62	10	52	62
"MT"	2010	"Big Horn"	"PRECINCT #07"				611	133	744	595	126	721
"MT"	2010	"Big Horn"	"PRECINCT #08"				56	71	127	58	65	123
"MT"	2010	"Big Horn"	"PRECINCT #09"				127	25	152	107	32	139
"MT"	2010	"Big Horn"	"PRECINCT #10"				3	42	45	6	40	46
"MT"	2010	"Big Horn"	"PRECINCT #14"				76	86	162	107	51	158
"MT"	2010	"Big Horn"	"PRECINCT #15"				194	53	247	163	68	231
"MT"	2010	"Big Horn"	"PRECINCT #17"				125	185	310	121	168	289
"MT"	2010	"Big Horn"	"PRECINCT #18"				74	186	260	87	162	249
"MT"	2010	"Big Horn"	"PRECINCT #19"				96	263	359	146	197	343
"MT"	2010	"Big Horn"	"PRECINCT #21"				307	89	396	275	103	378
"MT"	2010	"Big Horn"	"PRECINCT #25"				20	22	42	25	18	43
"MT"	2010	"Big Horn"	"PRECINCT #26"				118	116	234	133	89	222
"MT"	2010	"Blaine"	"BELKNAP 3"				137		137	116	37	153
"MT"	2010	"Blaine"	"CHINOOK 11"	193	347	540	177	371	548	138	382	520
"MT"	2010	"Blaine"	"HARLEM 8"	129	198	327	122	214	336	119	209	328
"MT"	2010	"Blaine"	"HARLEM 9"				39		39	32	7	39
"MT"	2010	"Blaine"	"HAYS 15"				102		102	73	30	103
"MT"	2010	"Blaine"	"LLOYD 17"				36		36	8	68	76
"MT"	2010	"Blaine"	"LODGEPOLE 20"				28		28	22	7	29
"MT"	2010	"Blaine"	"NORTH CHINOOK 13"	17	58	75	16	60	76	9	61	70
"MT"	2010	"Blaine"	"SOUTH CHINOOK 10"				168		168	73	217	290
"MT"	2010	"Blaine"	"TURNER 1"	14	166	180	24	153	177	23	147	170
"MT"	2010	"Broadwater"	"PRECINCT 01"				144	455	599	128	444	572
"MT"	2010	"Broadwater"	"PRECINCT 07"				114	331	445	109	317	426
"MT"	2010	"Broadwater"	"PRECINCT 11"		471	471		458	458	105	442	547
"MT"	2010	"Broadwater"	"PRECINCT 12"				154	354	508	131	354	485
"MT"	2010	"Broadwater"	"PRECINCT 13"				74	373	447	78	338	416
"MT"	2010	"Carbon"	"P 01"	106	263	369		301	301	102	255	357
"MT"	2010	"Carbon"	"P 02"	81	144	225	105	121	226	76	129	205
"MT"	2010	"Carbon"	"P 03"	77	249	326	98	229	327	74	222	296
"MT"	2010	"Carbon"	"P 04"	111	169	280	125	155	280	107	148	255
"MT"	2010	"Carbon"	"P 05"	76	224	300	83	220	303	68	207	275
"MT"	2010	"Carbon"	"P 06"	106	176	282	109	177	286	84	170	254
"MT"	2010	"Carbon"	"P 07"	116	293	409	146	269	415	106	285	391
"MT"	2010	"Carbon"	"P 08"	230	175	405	268	149	417	200	191	391
"MT"	2010	"Carbon"	"P 09"	203	104	307	218	90	308	172	112	284
"MT"	2010	"Carbon"	"P 10"	166	125	291	175	119	294	137	136	273
"MT"	2010	"Carbon"	"P 11"	371	365	736	396	343	739	295	398	693
"MT"	2010	"Carbon"	"P 12"	41	97	138	36	101	137	42	86	128
"MT"	2010	"Carbon"	"P 13"	23	44	67		47	47	19	44	63
"MT"	2010	"Carbon"	"P 14"	34	123	157	36	122	158	32	119	151
"MT"	2010	"Carbon"	"P 15"	99	233	332	114	217	331	98	203	301
"MT"	2010	"Carbon"	"P 16"	55	129	184	81	114	195	55	132	187
"MT"	2010	"Carter"	"PRECINCT #01 ALZADA"		89	89	5	98	103	1	98	99
"MT"	2010	"Carter"	"PRECINCT #03 HAMMOND"		46	46	1	47	48	1	44	45
"MT"	2010	"Carter"	"PRECINCT #13 EKALAKA"		154	154	38	145	183	31	154	185
"MT"	2010	"Carter"	"PRECINCT #14 RURAL EKALAKA"		306	306	31	304	335	21	317	338
"MT"	2010	"Cascade"	"18A"					689	689	227	613	840
"MT"	2010	"Cascade"	"18B"					1111	1111	337	1007	1344
"MT"	2010	"Cascade"	"18C"					876	876	281	762	1043
"MT"	2010	"Cascade"	"18D"					163	163	57	125	182
"MT"	2010	"Cascade"	"18E"					131	131	43	115	158
"MT"	2010	"Cascade"	"18F"					222	222	62	197	259
"MT"	2010	"Cascade"	"18G"					213	213	83	181	264
"MT"	2010	"Cascade"	"19A"					112	112	32	98	130
"MT"	2010	"Cascade"	"19B"					516	516	180	436	616
"MT"	2010	"Cascade"	"19C"					310	310	112	256	368
"MT"	2010	"Cascade"	"19D"					642	642	318	481	799
"MT"	2010	"Cascade"	"19E"					456	456	180	360	540
"MT"	2010	"Cascade"	"19F"					634	634	219	535	754
"MT"	2010	"Cascade"	"19G"					302	302	92	260	352
"MT"	2010	"Cascade"	"20A"				397	516	913	357	538	895
"MT"	2010	"Cascade"	"20B"				378	400	778	315	434	749
"MT"	2010	"Cascade"	"20C"				326	664	990	327	636	963
"MT"	2010	"Cascade"	"21A"	348	218	566	343	212	555	241	285	526
"MT"	2010	"Cascade"	"21B"	787	522	1309	760	512	1272	480	778	1258
"MT"	2010	"Cascade"	"21C"	579	438	1017	543	461	1004	350	639	989
"MT"	2010	"Cascade"	"22A"	228	173	401	241	108	349	177	217	394
"MT"	2010	"Cascade"	"22B"	465	355	820	423	277	700	331	450	781
"MT"	2010	"Cascade"	"22C"	582	426	1008	579	321	900	402	577	979
"MT"	2010	"Cascade"	"23A"	427		427	328	189	517	228	261	489
"MT"	2010	"Cascade"	"23B"	555		555	423	281	704	276	413	689
"MT"	2010	"Cascade"	"23C"	648		648	490	354	844	321	500	821
"MT"	2010	"Cascade"	"24A"	277		277	138	241	379	116	253	369
"MT"	2010	"Cascade"	"24B"	575		575	348	428	776	280	464	744
"MT"	2010	"Cascade"	"24C"	255		255	140	183	323	139	172	311
"MT"	2010	"Cascade"	"25A"	358	466	824	379	444	823	276	512	788
"MT"	2010	"Cascade"	"25B"	542	733	1275	619	658	1277	442	793	1235
"MT"	2010	"Cascade"	"25C"	525	769	1294	573	729	1302	442	817	1259
"MT"	2010	"Cascade"	"25D"	240	396	636	257	374	631	183	416	599
"MT"	2010	"Cascade"	"26A"	332	268	600	424	183	607	259	320	579
"MT"	2010	"Cascade"	"26B"	433	450	883	592	297	889	358	485	843
"MT"	2010	"Cascade"	"26C"	95	165	260	152	104	256	69	179	248
"MT"	2010	"Cascade"	"26D"	201	314	515	261	255	516	151	333	484
"MT"	2010	"Cascade"	"26E"	141	353	494	184	307	491	124	343	467
"MT"	2010	"Chouteau"	"APPLE SCHOOL 5"		70	70		72	72	13	77	90
"MT"	2010	"Chouteau"	"BIG SANDY 8"		305	305		312	312	83	293	376
"MT"	2010	"Chouteau"	"BIG SANDY 9"	26	116	142	40	99	139	24	125	149
"MT"	2010	"Chouteau"	"CARTER 4"		101	101		109	109	20	100	120
"MT"	2010	"Chouteau"	"FORT BENTON 1"		205	205		231	231	79	187	266
"MT"	2010	"Chouteau"	"FORT BENTON 2"		197	197		210	210	75	208	283
"MT"	2010	"Chouteau"	"FORT BENTON 3"		224	224		235	235	77	194	271
"MT"	2010	"Chouteau"	"GERALDINE 10"	34	119	153	86	70	156	27	128	155
"MT"	2010	"Chouteau"	"GERALDINE 11"	39	100	139	66	75	141	31	110	141
"MT"	2010	"Chouteau"	"HIGHWOOD 6"	52	177	229	67	160	227	36	196	232
"MT"	2010	"Chouteau"	"LOMA 7"		73	73		75	75	17	81	98
"MT"	2010	"Chouteau"	"ROCKY BOY 12"			0	27		27	27	4	31
"MT"	2010	"Custer"	"CCDHS 02"		622	622	465	289	754	222	510	732
"MT"	2010	"Custer"	"HIGHLAND PARK SCH 03"		723	723	540	332	872	266	580	846
"MT"	2010	"Custer"	"ISMAY CHURCH 14"		26	26	2	25	27	2	24	26
"MT"	2010	"Custer"	"JEFFERSON SCH 04"		554	554	401	284	685	233	424	657
"MT"	2010	"Custer"	"KINSEY SCH 07"		209	209		211	211	42	210	252
"MT"	2010	"Custer"	"KIRCHER SCH 05"		178	178		174	174	55	152	207
"MT"	2010	"Custer"	"KNOWLTON SCH 13"		49	49	0	50	50	1	48	49
"MT"	2010	"Custer"	"MOON CREEK 08"				10	72	82	10	68	78
"MT"	2010	"Custer"	"NAT'L GUARD 06"		292	292	105	243	348	101	243	344
"MT"	2010	"Custer"	"RIVERVIEW SCHOOL 12"		24	24	1	26	27	3	25	28
"MT"	2010	"Custer"	"S-H SCHOOL 09"		10	10	2	11	13	2	12	14
"MT"	2010	"Custer"	"SPRING CREEK SCH 11"		26	26	2	27	29	1	27	28
"MT"	2010	"Custer"	"VOLBORG STORE 10"		31	31	5	31	36	6	32	38
"MT"	2010	"Custer"	"WASHINGTON SCH 01"		462	462	357	252	609	219	344	563
"MT"	2010	"Daniels"	"PRECINCT #02"				72	57	129	33	85	118
"MT"	2010	"Daniels"	"PRECINCT #03"				106	171	277	49	214	263
"MT"	2010	"Daniels"	"PRECINCT #05"				150	107	257	52	185	237
"MT"	2010	"Daniels"	"PRECINCT #06"				151	93	244	68	145	213
"MT"	2010	"Dawson"	"PRECINCT 01"				128	121	249	81	141	222
"MT"	2010	"Dawson"	"PRECINCT 02"				246	244	490	166	295	461
"MT"	2010	"Dawson"	"PRECINCT 03"				340	331	671	198	452	650
"MT"	2010	"Dawson"	"PRECINCT 04"				209	160	369	109	228	337
"MT"	2010	"Dawson"	"PRECINCT 05"					167	167	37	165	202
"MT"	2010	"Dawson"	"PRECINCT 06A"					26	26	4	27	31
"MT"	2010	"Dawson"	"PRECINCT 06B"				14	23	37	5	31	36
"MT"	2010	"Dawson"	"PRECINCT 06C"		32	32	6	30	36	8	28	36
"MT"	2010	"Dawson"	"PRECINCT 07"					47	47	7	45	52
"MT"	2010	"Dawson"	"PRECINCT 08"				166	270	436	105	316	421
"MT"	2010	"Dawson"	"PRECINCT 09"		126	126	35	110	145	40	107	147
"MT"	2010	"Dawson"	"PRECINCT 10"				420	503	923	247	624	871
"MT"	2010	"Deer Lodge"	"PRECNCT 01"	235	129	364	283		283	191	172	363
"MT"	2010	"Deer Lodge"	"PRECNCT 01A"	196	124	320	272		272	191	112	303
"MT"	2010	"Deer Lodge"	"PRECNCT 02"	263	95	358	299		299	192	151	343
"MT"	2010	"Deer Lodge"	"PRECNCT 02A"	3	0	3	1		1	0	3	3
"MT"	2010	"Deer Lodge"	"PRECNCT 03"	366	140	506	435		435	308	172	480
"MT"	2010	"Deer Lodge"	"PRECNCT 03A"	8	2	10	9		9	9	2	11
"MT"	2010	"Deer Lodge"	"PRECNCT 04"	200	97	297	247		247	168	110	278
"MT"	2010	"Deer Lodge"	"PRECNCT 04A"	16	5	21	18		18	15	4	19
"MT"	2010	"Deer Lodge"	"PRECNCT 05"	153	65	218	188		188	126	82	208
"MT"	2010	"Deer Lodge"	"PRECNCT 05A"	15	6	21	22		22	14	7	21
"MT"	2010	"Deer Lodge"	"PRECNCT 06"	247	112	359	325		325	218	133	351
"MT"	2010	"Deer Lodge"	"PRECNCT 06A"	6	4	10	8		8	7	3	10
"MT"	2010	"Deer Lodge"	"PRECNCT 07"	41	33	74	67		67	50	22	72
"MT"	2010	"Deer Lodge"	"PRECNCT 07A"	67	39	106	81		81	55	51	106
"MT"	2010	"Deer Lodge"	"PRECNCT 08"	161	101	262	211		211	133	109	242
"MT"	2010	"Deer Lodge"	"PRECNCT 09"	111	112	223	171		171	90	119	209
"MT"	2010	"Deer Lodge"	"PRECNCT 10"	12	22	34	14		14	4	31	35
"MT"	2010	"Fallon"	"PRECINCT 01"		239	239	43	220	263	57	215	272
"MT"	2010	"Fallon"	"PRECINCT 02"		250	250	56	225	281	61	219	280
