state	year	county	precinct	g2004_USP_tv	g2004_USP_rv	g2004_USP_dv	g2004_USS_tv	g2004_USS_rv	g2004_USS_dv
"GA"	2004	"Appling County"	"1-A"	141	112	28	137	111	24
"GA"	2004	"Appling County"	"1-A1"	170	146	23	167	136	27
"GA"	2004	"Appling County"	"1-B"	531	388	140	500	359	136
"GA"	2004	"Appling County"	"1-C"	377	300	75	347	275	69
"GA"	2004	"Appling County"	"1-D"	64	47	17	60	40	18
"GA"	2004	"Appling County"	"2"	782	305	471	728	265	447
"GA"	2004	"Appling County"	"3-A"	158	142	16	149	133	13
"GA"	2004	"Appling County"	"3-B"	193	101	90	183	89	91
"GA"	2004	"Appling County"	"3-C"	625	441	179	573	383	181
"GA"	2004	"Appling County"	"4-A"	216	186	29	212	172	38
"GA"	2004	"Appling County"	"4-B"	232	215	17	220	195	22
"GA"	2004	"Appling County"	"4-C"	227	186	41	217	177	39
"GA"	2004	"Appling County"	"4-D"	457	375	80	439	354	83
"GA"	2004	"Appling County"	"5-A"	450	363	86	419	317	94
"GA"	2004	"Appling County"	"5-B"	204	163	41	195	158	31
"GA"	2004	"Appling County"	"5-B1"	81	29	50	80	29	48
"GA"	2004	"Appling County"	"5-C"	196	142	54	182	129	51
"GA"	2004	"Atkinson County"	"Axson"	310	262	48	288	232	53
"GA"	2004	"Atkinson County"	"Pearson City"	300	142	158	269	118	146
"GA"	2004	"Atkinson County"	"Pearson County"	518	442	74	481	378	95
"GA"	2004	"Atkinson County"	"Willacoochee"	584	352	229	555	317	228
"GA"	2004	"Augusta-Richmond County"	"101"	669	381	280	653	390	240
"GA"	2004	"Augusta-Richmond County"	"102"	488	209	276	453	208	238
"GA"	2004	"Augusta-Richmond County"	"103"	672	28	641	611	36	568
"GA"	2004	"Augusta-Richmond County"	"104"	1241	93	1143	1130	102	1018
"GA"	2004	"Augusta-Richmond County"	"105"	367	22	343	324	21	298
"GA"	2004	"Augusta-Richmond County"	"106"	326	161	162	307	155	142
"GA"	2004	"Augusta-Richmond County"	"107"	871	481	387	830	489	334
"GA"	2004	"Augusta-Richmond County"	"108"	235	24	208	221	27	193
"GA"	2004	"Augusta-Richmond County"	"109"	162	48	110	151	54	94
"GA"	2004	"Augusta-Richmond County"	"110"	151	47	103	135	46	87
"GA"	2004	"Augusta-Richmond County"	"111"	584	143	439	564	143	409
"GA"	2004	"Augusta-Richmond County"	"112"	356	147	204	311	142	162
"GA"	2004	"Augusta-Richmond County"	"113"	362	53	308	340	59	275
"GA"	2004	"Augusta-Richmond County"	"201"	638	60	578	590	54	529
"GA"	2004	"Augusta-Richmond County"	"202"	1563	549	1008	1490	541	925
"GA"	2004	"Augusta-Richmond County"	"203"	634	20	614	601	25	571
"GA"	2004	"Augusta-Richmond County"	"204"	432	281	148	408	272	128
"GA"	2004	"Augusta-Richmond County"	"205"	666	44	619	602	45	552
"GA"	2004	"Augusta-Richmond County"	"206"	332	189	137	310	177	127
"GA"	2004	"Augusta-Richmond County"	"207"	852	36	810	779	49	721
"GA"	2004	"Augusta-Richmond County"	"208"	590	129	460	569	134	427
"GA"	2004	"Augusta-Richmond County"	"209"	464	157	304	438	160	273
"GA"	2004	"Augusta-Richmond County"	"301"	1234	896	331	1204	907	285
"GA"	2004	"Augusta-Richmond County"	"302"	365	124	239	354	124	223
"GA"	2004	"Augusta-Richmond County"	"303"	712	574	129	704	592	102
"GA"	2004	"Augusta-Richmond County"	"304"	10	2	8	10	2	8
"GA"	2004	"Augusta-Richmond County"	"305"	229	186	42	223	186	36
"GA"	2004	"Augusta-Richmond County"	"306"	964	530	430	920	507	403
"GA"	2004	"Augusta-Richmond County"	"307"	856	588	259	831	596	215
"GA"	2004	"Augusta-Richmond County"	"308"	414	152	258	399	149	238
"GA"	2004	"Augusta-Richmond County"	"309"	343	145	196	329	151	173
"GA"	2004	"Augusta-Richmond County"	"310"	1411	515	891	1344	463	866
"GA"	2004	"Augusta-Richmond County"	"401"	1360	188	1165	1330	157	1151
"GA"	2004	"Augusta-Richmond County"	"402"	970	94	873	917	105	806
"GA"	2004	"Augusta-Richmond County"	"403"	871	179	688	817	140	669
"GA"	2004	"Augusta-Richmond County"	"404"	1475	334	1135	1417	277	1119
"GA"	2004	"Augusta-Richmond County"	"405"	1676	302	1366	1631	236	1382
"GA"	2004	"Augusta-Richmond County"	"407"	152	61	89	147	57	88
"GA"	2004	"Augusta-Richmond County"	"408"	172	45	127	171	45	126
"GA"	2004	"Augusta-Richmond County"	"501"	648	164	483	621	151	464
"GA"	2004	"Augusta-Richmond County"	"502"	108	45	63	104	42	61
"GA"	2004	"Augusta-Richmond County"	"503"	1357	302	1048	1304	276	1012
"GA"	2004	"Augusta-Richmond County"	"504"	570	120	443	537	106	420
"GA"	2004	"Augusta-Richmond County"	"505"	640	59	578	619	48	566
"GA"	2004	"Augusta-Richmond County"	"506"	1417	195	1216	1351	165	1170
"GA"	2004	"Augusta-Richmond County"	"507"	467	143	324	442	135	297
"GA"	2004	"Augusta-Richmond County"	"508"	399	182	215	384	179	191
"GA"	2004	"Augusta-Richmond County"	"601"	1277	467	806	1235	442	776
"GA"	2004	"Augusta-Richmond County"	"602"	1078	732	344	1031	704	318
"GA"	2004	"Augusta-Richmond County"	"603"	911	552	349	891	555	320
"GA"	2004	"Augusta-Richmond County"	"604"	585	260	322	562	249	307
"GA"	2004	"Augusta-Richmond County"	"605"	853	316	534	819	309	503
"GA"	2004	"Augusta-Richmond County"	"606"	996	569	422	953	551	385
"GA"	2004	"Augusta-Richmond County"	"701"	1192	807	373	1165	813	336
"GA"	2004	"Augusta-Richmond County"	"702"	1209	798	405	1165	790	351
"GA"	2004	"Augusta-Richmond County"	"703"	1489	876	600	1436	874	532
"GA"	2004	"Augusta-Richmond County"	"704"	191	105	86	185	102	81
"GA"	2004	"Augusta-Richmond County"	"705"	909	605	297	887	605	266
"GA"	2004	"Augusta-Richmond County"	"706"	1371	1005	359	1336	997	326
"GA"	2004	"Augusta-Richmond County"	"707"	1004	602	393	974	594	359
"GA"	2004	"Augusta-Richmond County"	"708"	386	229	155	370	230	134
"GA"	2004	"Augusta-Richmond County"	"801"	200	139	59	195	136	57
"GA"	2004	"Augusta-Richmond County"	"802"	560	374	182	530	362	163
"GA"	2004	"Augusta-Richmond County"	"803"	28	9	19	27	6	20
"GA"	2004	"Augusta-Richmond County"	"804"	1780	1095	674	1700	1008	663
"GA"	2004	"Augusta-Richmond County"	"805"	415	238	173	399	227	166
"GA"	2004	"Augusta-Richmond County"	"806"	1200	905	293	1150	851	279
"GA"	2004	"Augusta-Richmond County"	"807"	535	171	360	512	169	336
"GA"	2004	"Augusta-Richmond County"	"808"	997	674	323	974	658	305
"GA"	2004	"Augusta-Richmond County"	"809"	702	486	214	664	486	173
"GA"	2004	"Augusta-Richmond County"	"Blythe City"	231	167	62	223	157	63
"GA"	2004	"Bacon County"	"Douglas"	1251	871	376	1116	738	354
"GA"	2004	"Bacon County"	"New Lacy"	479	377	100	436	335	96
"GA"	2004	"Bacon County"	"Taylor"	358	284	73	331	266	61
"GA"	2004	"Bacon County"	"Ware"	241	205	36	226	186	35
"GA"	2004	"Bacon County"	"Warnock"	186	141	43	178	124	49
"GA"	2004	"Baker County"	"Anna"	117	64	52	108	67	40
"GA"	2004	"Baker County"	"Elmodel"	160	83	74	151	82	66
"GA"	2004	"Baker County"	"Hoggards Mill"	166	52	114	146	48	93
"GA"	2004	"Baker County"	"Milford"	179	98	79	163	104	57
"GA"	2004	"Baker County"	"Newton"	517	232	283	484	220	259
"GA"	2004	"Baldwin County"	"Boddie"	351	96	254	328	85	234
"GA"	2004	"Baldwin County"	"City Hall Annex"	315	149	163	308	138	163
"GA"	2004	"Baldwin County"	"Coopers"	728	506	216	708	476	212
"GA"	2004	"Baldwin County"	"Courthouse"	429	223	203	409	219	176
"GA"	2004	"Baldwin County"	"East Baldwin"	1501	866	626	1454	814	615
"GA"	2004	"Baldwin County"	"East Hardwick"	481	116	361	464	135	326
"GA"	2004	"Baldwin County"	"Fire Dept"	573	184	385	557	192	352
"GA"	2004	"Baldwin County"	"Meriweather"	1005	686	315	989	663	310
"GA"	2004	"Baldwin County"	"North Baldwin"	1469	1079	388	1442	1061	366
"GA"	2004	"Baldwin County"	"North Milledgeville"	1072	617	448	1048	600	433
"GA"	2004	"Baldwin County"	"Scottsboro"	510	341	165	499	324	163
"GA"	2004	"Baldwin County"	"South Milledgeville"	391	117	271	382	116	259
"GA"	2004	"Baldwin County"	"West Baldwin"	749	387	355	719	368	333
"GA"	2004	"Baldwin County"	"West Hardwick"	1453	402	1043	1405	382	1009
"GA"	2004	"Banks County"	"Anderson"	519	421	95	509	398	103
"GA"	2004	"Banks County"	"Baldwin"	352	282	66	338	267	65
"GA"	2004	"Banks County"	"Berlin"	157	113	41	152	108	41
"GA"	2004	"Banks County"	"Bushville"	302	235	67	296	218	75
"GA"	2004	"Banks County"	"Columbia"	161	128	31	159	123	29
"GA"	2004	"Banks County"	"Davids"	587	469	114	569	448	104
"GA"	2004	"Banks County"	"Golden Hill"	343	272	71	332	257	66
"GA"	2004	"Banks County"	"Grove River"	252	212	35	250	212	36
"GA"	2004	"Banks County"	"Hollingsworth"	299	224	75	293	207	83
"GA"	2004	"Banks County"	"Homer"	451	361	89	444	334	104
"GA"	2004	"Banks County"	"Poplar Springs"	584	468	113	571	448	111
"GA"	2004	"Banks County"	"Washington"	295	215	77	283	206	69
"GA"	2004	"Banks County"	"Wilmonts"	239	175	63	235	157	70
"GA"	2004	"Barrow County"	"001"	816	629	180	805	587	198
"GA"	2004	"Barrow County"	"002"	1602	1391	207	1578	1332	204
"GA"	2004	"Barrow County"	"003"	945	781	158	934	734	170
"GA"	2004	"Barrow County"	"004"	1156	910	239	1137	854	243
"GA"	2004	"Barrow County"	"005"	508	410	93	501	385	102
"GA"	2004	"Barrow County"	"006"	742	558	177	735	520	197
"GA"	2004	"Barrow County"	"007"	1487	1044	430	1465	1013	418
"GA"	2004	"Barrow County"	"008"	968	794	164	951	752	170
"GA"	2004	"Barrow County"	"009"	477	390	86	471	378	78
"GA"	2004	"Barrow County"	"010"	721	412	307	707	380	315
"GA"	2004	"Barrow County"	"011"	1543	1128	399	1509	1050	408
"GA"	2004	"Barrow County"	"012"	1058	840	209	1049	805	218
"GA"	2004	"Barrow County"	"013"	832	605	218	823	574	219
"GA"	2004	"Bartow County"	"Adairsville"	1886	1409	465	1837	1322	471
"GA"	2004	"Bartow County"	"Allatoona"	1614	1225	374	1587	1142	386
"GA"	2004	"Bartow County"	"Cartersville East"	2136	1488	626	2090	1471	568
"GA"	2004	"Bartow County"	"Cartersville West"	2431	1661	747	2408	1660	695
"GA"	2004	"Bartow County"	"Cassville East"	1798	1324	465	1770	1250	477
"GA"	2004	"Bartow County"	"Cassville West"	1696	1321	368	1671	1266	367
"GA"	2004	"Bartow County"	"Center"	1282	1032	243	1257	981	244
"GA"	2004	"Bartow County"	"Emerson"	1064	789	260	1040	746	266
"GA"	2004	"Bartow County"	"Euharlee"	1304	1008	285	1279	950	306
"GA"	2004	"Bartow County"	"Folsom"	544	434	107	538	413	111
"GA"	2004	"Bartow County"	"Kingston"	1049	709	329	1033	671	318
"GA"	2004	"Bartow County"	"Mission Road"	2275	1711	545	2236	1624	567
"GA"	2004	"Bartow County"	"Pine Log"	939	764	166	929	721	176
"GA"	2004	"Bartow County"	"Taylorsville"	1087	869	208	1056	840	193
"GA"	2004	"Bartow County"	"White"	1018	797	211	999	770	197
"GA"	2004	"Bartow County"	"Woodland High"	565	451	107	553	414	125
"GA"	2004	"Bartow County"	"Zena Drive"	1696	1140	540	1661	1082	537
"GA"	2004	"Ben Hill County"	"East"	848	344	500	823	300	507
"GA"	2004	"Ben Hill County"	"Special East"	268	163	100	256	145	108
"GA"	2004	"Ben Hill County"	"Special West"	727	517	207	703	440	251
"GA"	2004	"Ben Hill County"	"West"	1039	715	320	1014	665	338
"GA"	2004	"Ben Hill County"	"Williamson Mill"	109	83	25	105	78	26
"GA"	2004	"Berrien County"	"Alapaha"	637	364	266	609	366	230
"GA"	2004	"Berrien County"	"Enigma"	447	336	109	427	311	109
"GA"	2004	"Berrien County"	"Jordan"	314	251	58	308	243	56
"GA"	2004	"Berrien County"	"Lower Tenth"	154	122	28	152	115	32
"GA"	2004	"Berrien County"	"Nashville"	1944	1383	543	1895	1302	555
"GA"	2004	"Berrien County"	"New Lois"	171	137	31	167	132	33
"GA"	2004	"Berrien County"	"New River"	142	110	30	136	107	28
"GA"	2004	"Berrien County"	"Ray City"	601	412	185	575	366	187
"GA"	2004	"Berrien County"	"Upper Tenth"	125	103	21	125	100	22
"GA"	2004	"Bibb County"	"East Macon 1"	415	30	384	398	37	357
"GA"	2004	"Bibb County"	"East Macon 2"	920	108	804	901	97	791
"GA"	2004	"Bibb County"	"East Macon 3"	652	20	628	632	31	596
"GA"	2004	"Bibb County"	"East Macon 4"	741	296	434	733	312	395
"GA"	2004	"Bibb County"	"East Macon 5"	878	130	742	865	111	746
"GA"	2004	"Bibb County"	"East Macon 6"	745	45	697	734	42	690
"GA"	2004	"Bibb County"	"East Macon 7"	792	248	540	776	230	531
"GA"	2004	"Bibb County"	"East Macon 8"	869	136	727	852	125	718
"GA"	2004	"Bibb County"	"East Macon 9"	754	339	409	746	352	379
"GA"	2004	"Bibb County"	"Godfrey 1"	579	89	485	565	82	466
"GA"	2004	"Bibb County"	"Godfrey 2"	622	47	570	598	42	548
"GA"	2004	"Bibb County"	"Godfrey 3"	628	28	594	611	36	569
"GA"	2004	"Bibb County"	"Godfrey 4"	689	110	575	668	120	537
"GA"	2004	"Bibb County"	"Godfrey 5"	445	137	306	429	126	289
"GA"	2004	"Bibb County"	"Godfrey 6"	568	179	386	554	169	381
"GA"	2004	"Bibb County"	"Godfrey 7"	710	85	622	694	79	609
"GA"	2004	"Bibb County"	"Godfrey 8"	950	229	717	923	226	686
"GA"	2004	"Bibb County"	"Godfrey 9"	1065	254	803	1044	237	789
"GA"	2004	"Bibb County"	"Hazzard 1"	1091	207	879	1073	195	869
"GA"	2004	"Bibb County"	"Hazzard 2"	1832	1215	606	1802	1167	587
"GA"	2004	"Bibb County"	"Hazzard 3"	1753	968	777	1717	928	758
"GA"	2004	"Bibb County"	"Hazzard 4"	937	761	172	923	753	154
"GA"	2004	"Bibb County"	"Hazzard 5"	816	192	620	798	167	623
"GA"	2004	"Bibb County"	"Hazzard 6"	827	206	617	806	207	585
"GA"	2004	"Bibb County"	"Hazzard 7"	965	679	285	947	672	265
"GA"	2004	"Bibb County"	"Howard 1"	876	618	252	867	631	219
"GA"	2004	"Bibb County"	"Howard 2"	1820	1382	428	1804	1400	377
"GA"	2004	"Bibb County"	"Howard 3"	2127	1328	785	2096	1332	731
"GA"	2004	"Bibb County"	"Howard 4"	966	723	238	955	743	191
"GA"	2004	"Bibb County"	"Howard 5"	830	617	199	810	613	176
"GA"	2004	"Bibb County"	"Howard 6"	828	566	257	817	588	214
"GA"	2004	"Bibb County"	"Howard 7"	1233	857	365	1212	873	315
"GA"	2004	"Bibb County"	"Howard 8"	1401	1045	340	1388	1072	294
"GA"	2004	"Bibb County"	"Howard 9"	1432	1140	282	1414	1153	237
"GA"	2004	"Bibb County"	"Macon 1"	659	140	512	650	148	490
"GA"	2004	"Bibb County"	"Macon 2"	588	79	507	576	62	511
"GA"	2004	"Bibb County"	"Macon 3"	538	42	493	485	28	454
"GA"	2004	"Bibb County"	"Rutland 1"	2349	1761	576	2314	1766	516
"GA"	2004	"Bibb County"	"Rutland 2"	1422	1120	293	1391	1101	269
"GA"	2004	"Bibb County"	"Vineville 1"	777	258	507	753	277	445
"GA"	2004	"Bibb County"	"Vineville 2"	397	46	347	371	29	334
"GA"	2004	"Bibb County"	"Vineville 3"	592	57	530	577	62	507
"GA"	2004	"Bibb County"	"Vineville 4"	969	128	836	947	127	812
"GA"	2004	"Bibb County"	"Vineville 5"	623	80	535	604	76	517
"GA"	2004	"Bibb County"	"Vineville 6"	1199	858	330	1181	892	259
"GA"	2004	"Bibb County"	"Vineville 7"	616	312	299	605	328	260
"GA"	2004	"Bibb County"	"Vineville 8"	715	403	305	707	417	263
"GA"	2004	"Bibb County"	"Vineville 9"	719	425	291	705	433	253
"GA"	2004	"Bibb County"	"Warrior 1"	1211	831	377	1197	821	354
"GA"	2004	"Bibb County"	"Warrior 2"	1373	925	443	1346	909	417
"GA"	2004	"Bleckley County"	"Fairground"	3379	2429	930	3227	2344	821
"GA"	2004	"Brantley County"	"Atkinson"	485	365	120	465	339	118
"GA"	2004	"Brantley County"	"Calvary"	704	582	117	658	513	130
"GA"	2004	"Brantley County"	"Hickox"	472	384	85	421	292	121
"GA"	2004	"Brantley County"	"Hoboken"	602	471	124	536	370	151
"GA"	2004	"Brantley County"	"Hortense"	433	338	92	402	304	88
"GA"	2004	"Brantley County"	"Lulaton"	264	204	60	241	165	72
"GA"	2004	"Brantley County"	"Nahunta"	755	515	234	677	407	251
"GA"	2004	"Brantley County"	"Schlatterville"	294	234	56	269	213	52
"GA"	2004	"Brantley County"	"Waynesville"	739	577	160	706	518	167
"GA"	2004	"Brooks County"	"Barney"	296	210	85	281	204	73
"GA"	2004	"Brooks County"	"Briggs"	725	554	169	679	518	143
"GA"	2004	"Brooks County"	"Dixie"	275	128	146	254	117	132
"GA"	2004	"Brooks County"	"Dry Lake"	172	125	47	167	124	41
"GA"	2004	"Brooks County"	"Grooverville"	183	94	88	162	84	74
"GA"	2004	"Brooks County"	"Morven"	454	215	238	429	211	209
"GA"	2004	"Brooks County"	"Nankin"	253	190	63	240	177	56
"GA"	2004	"Brooks County"	"Quitman"	1171	452	716	1090	455	610
"GA"	2004	"Brooks County"	"Williams"	225	149	75	203	133	65
"GA"	2004	"Bryan County"	"Blitchton"	457	311	144	444	300	137
"GA"	2004	"Bryan County"	"Daniel Siding Fire"	1128	736	382	1095	692	381
"GA"	2004	"Bryan County"	"Hendrix Park"	931	679	250	902	640	245
"GA"	2004	"Bryan County"	"Highway 144 East"	724	573	143	705	563	131
"GA"	2004	"Bryan County"	"Keller"	1037	860	176	1011	830	171
"GA"	2004	"Bryan County"	"Pembroke East"	710	483	222	662	457	195
"GA"	2004	"Bryan County"	"Pembroke West"	384	200	182	370	201	166
"GA"	2004	"Bryan County"	"RH Recreation Center"	898	724	171	879	717	152
"GA"	2004	"Bryan County"	"Ways Station"	959	714	244	926	671	238
"GA"	2004	"Bulloch County"	"Armory"	2162	1217	925	2114	1221	863
"GA"	2004	"Bulloch County"	"Bay"	537	410	127	525	420	99
"GA"	2004	"Bulloch County"	"Blitch"	786	582	201	763	596	163
"GA"	2004	"Bulloch County"	"Brooklet"	914	662	248	901	666	223
"GA"	2004	"Bulloch County"	"Emit"	819	593	222	800	590	201
"GA"	2004	"Bulloch County"	"Fair"	3182	1792	1364	3116	1793	1245
"GA"	2004	"Bulloch County"	"Hagin"	907	587	311	874	558	298
"GA"	2004	"Bulloch County"	"Lockhart"	182	150	30	178	151	27
"GA"	2004	"Bulloch County"	"Nevils"	442	329	110	433	322	106
"GA"	2004	"Bulloch County"	"Portal"	837	490	343	813	507	299
"GA"	2004	"Bulloch County"	"Register"	412	249	160	399	257	133
"GA"	2004	"Bulloch County"	"Sinkhole"	216	164	51	212	167	43
"GA"	2004	"Bulloch County"	"Statesboro"	2451	1378	1063	2393	1402	955
"GA"	2004	"Bulloch County"	"Stilson"	977	735	229	962	737	215
"GA"	2004	"Burke County"	"Alexander"	243	110	131	236	123	108
"GA"	2004	"Burke County"	"Four Points"	666	439	225	636	448	182
"GA"	2004	"Burke County"	"Girard"	369	158	209	351	181	169
"GA"	2004	"Burke County"	"Gough"	218	67	149	205	78	124
"GA"	2004	"Burke County"	"Greens Cut"	705	358	341	670	370	288
"GA"	2004	"Burke County"	"Keysville"	358	166	192	341	182	155
"GA"	2004	"Burke County"	"Midville"	266	106	159	253	123	127
"GA"	2004	"Burke County"	"Munnerlyn"	135	60	74	121	56	63
"GA"	2004	"Burke County"	"N. Waynesboro"	1001	246	750	932	262	659
"GA"	2004	"Burke County"	"S. Waynesboro"	1257	804	449	1212	811	387
"GA"	2004	"Burke County"	"Sardis"	495	271	222	454	267	175
"GA"	2004	"Burke County"	"Scotts Crsrds"	165	43	120	144	49	92
"GA"	2004	"Burke County"	"St. Clair"	171	60	111	162	67	94
"GA"	2004	"Burke County"	"Telfair"	271	166	105	252	160	89
"GA"	2004	"Burke County"	"Vidette"	187	89	98	177	100	76
"GA"	2004	"Butts County"	"1A - Stark"	899	751	141	878	706	155
"GA"	2004	"Butts County"	"1B - Mt Vernon"	426	318	106	413	283	122
"GA"	2004	"Butts County"	"2A - Flovilla"	432	141	290	423	129	287
"GA"	2004	"Butts County"	"2B - Senior Center"	327	100	225	324	87	232
"GA"	2004	"Butts County"	"3A - Towaliga"	803	625	169	795	612	164
"GA"	2004	"Butts County"	"3B - Library"	403	291	112	399	275	116
"GA"	2004	"Butts County"	"4A - Shiloh"	449	176	267	447	168	272
"GA"	2004	"Butts County"	"4B - Courthouse"	268	70	194	259	60	197
"GA"	2004	"Butts County"	"5A - Jenkinsburg"	543	395	147	531	369	149
"GA"	2004	"Butts County"	"5B - Worthville"	697	540	150	689	520	152
"GA"	2004	"Calhoun County"	"Arlington"	344	122	219	324	124	197
"GA"	2004	"Calhoun County"	"Edison"	294	108	185	289	109	170
"GA"	2004	"Calhoun County"	"Edison-Arlington"	320	182	136	310	174	131
"GA"	2004	"Calhoun County"	"Leary"	419	144	274	405	156	243
"GA"	2004	"Calhoun County"	"Morgan"	304	174	128	293	182	109
"GA"	2004	"Camden County"	"BROWNTOWN"	311	238	73	293	206	75
"GA"	2004	"Camden County"	"GROSS ROAD"	1353	948	397	1296	876	397
"GA"	2004	"Camden County"	"HARRIETTS BLUFF"	767	589	173	729	544	171
"GA"	2004	"Camden County"	"KINGSLAND"	817	598	212	780	537	221
"GA"	2004	"Camden County"	"MARY LEE CLARK"	980	658	318	928	596	313
"GA"	2004	"Camden County"	"MUSH BLUFF"	946	699	244	905	648	224
"GA"	2004	"Camden County"	"NORTH KINGSLAND"	766	393	372	707	367	328
"GA"	2004	"Camden County"	"NORTH ST MARYS"	632	404	223	594	364	219
"GA"	2004	"Camden County"	"SOUTH ST MARYS"	998	644	346	938	592	322
"GA"	2004	"Camden County"	"TARBORO"	399	248	150	355	229	116
"GA"	2004	"Camden County"	"WAVERLY"	477	289	187	437	269	160
"GA"	2004	"Camden County"	"WEST KINGSLAND"	952	723	227	899	657	219
"GA"	2004	"Camden County"	"WEST ST MARYS"	1066	810	249	1018	765	225
"GA"	2004	"Camden County"	"WOODBINE"	656	389	263	614	365	241
"GA"	2004	"Candler County"	"Candler"	1008	680	325	967	657	299
"GA"	2004	"Candler County"	"Metter"	1289	793	491	1233	758	451
"GA"	2004	"Carroll County"	"Bethany 501"	823	615	206	812	582	206
"GA"	2004	"Carroll County"	"Bonner 714 A3"	944	607	330	930	592	310
"GA"	2004	"Carroll County"	"Bowden"	1400	978	416	1358	937	400
"GA"	2004	"Carroll County"	"Bowdon Jct 1496"	534	371	159	523	346	168
"GA"	2004	"Carroll County"	"Burwell 1371"	694	523	160	686	499	159
"GA"	2004	"Carroll County"	"Center Point 1152"	732	601	123	719	579	128
"GA"	2004	"Carroll County"	"Central 714 BS"	455	331	121	448	315	120
"GA"	2004	"Carroll County"	"Clem 1483"	1048	797	241	1024	750	244
"GA"	2004	"Carroll County"	"County Admn. Bldg. 714 A5"	718	437	272	696	431	241
"GA"	2004	"Carroll County"	"EMC 714 BN"	630	416	212	618	390	221
"GA"	2004	"Carroll County"	"Fairfield 1540"	1384	1010	365	1361	991	336
"GA"	2004	"Carroll County"	"Georgian School 714 BE"	714	388	323	695	337	339
"GA"	2004	"Carroll County"	"Hulett 1542"	903	727	174	892	678	191
"GA"	2004	"Carroll County"	"Kansas 1006"	559	452	102	547	439	93
"GA"	2004	"Carroll County"	"Lakeshore 714 A2"	588	398	185	579	381	182
"GA"	2004	"Carroll County"	"Lowell 1163"	656	544	107	642	519	111
"GA"	2004	"Carroll County"	"Mt. Zion 1240"	714	552	157	703	507	179
"GA"	2004	"Carroll County"	"New Hope 716"	520	359	156	508	346	151
"GA"	2004	"Carroll County"	"Oak Grove 715"	689	553	135	679	533	134
"GA"	2004	"Carroll County"	"Old Camp 714 BW"	1099	811	277	1077	758	292
"GA"	2004	"Carroll County"	"Roopville 713"	733	549	173	723	522	178
"GA"	2004	"Carroll County"	"Sandhill 1122"	1393	1016	367	1365	945	383
"GA"	2004	"Carroll County"	"Tabernacle 714 A6"	534	359	155	525	353	149
"GA"	2004	"Carroll County"	"Temple City 650"	1042	728	308	1015	685	312
"GA"	2004	"Carroll County"	"Temple County 649"	1222	919	294	1195	860	300
"GA"	2004	"Carroll County"	"Tyus 1533"	834	641	187	804	595	189
"GA"	2004	"Carroll County"	"Villa Rica City 642"	1341	873	451	1315	802	484
"GA"	2004	"Carroll County"	"Villa Rica North 641"	1789	1338	436	1756	1266	449
"GA"	2004	"Carroll County"	"Villa Rica South 640"	1078	813	258	1062	789	259
"GA"	2004	"Carroll County"	"West Carrollton 714 A1"	807	237	562	789	202	567
"GA"	2004	"Carroll County"	"West Ga College 714 A4"	1328	753	564	1299	737	528
"GA"	2004	"Carroll County"	"Whitesburg 682"	836	618	211	821	568	232
"GA"	2004	"Catoosa County"	"Blackstock"	668	501	163	623	456	149
"GA"	2004	"Catoosa County"	"Boynton"	2003	1519	474	1930	1475	422
"GA"	2004	"Catoosa County"	"Catoosa Keith"	915	675	229	875	623	226
"GA"	2004	"Catoosa County"	"Chambers"	914	707	197	881	681	181
"GA"	2004	"Catoosa County"	"Duncan Park"	659	445	209	593	406	171
"GA"	2004	"Catoosa County"	"Ft Oglethorpe"	1547	1085	452	1378	949	403
"GA"	2004	"Catoosa County"	"Graysville"	1473	1093	375	1398	1026	346
"GA"	2004	"Catoosa County"	"Lakeview"	1262	869	384	1194	807	357
"GA"	2004	"Catoosa County"	"Poplar Springs"	1193	911	277	1102	844	240
"GA"	2004	"Catoosa County"	"Ringgold"	1736	1311	417	1642	1220	390
"GA"	2004	"Catoosa County"	"Westside"	1021	721	294	962	674	270
"GA"	2004	"Catoosa County"	"Woodstation"	1129	854	268	1081	813	247
"GA"	2004	"Charlton County"	"Folkston #1"	366	142	223	300	106	180
"GA"	2004	"Charlton County"	"Folkston #2"	377	178	198	337	154	178
"GA"	2004	"Charlton County"	"Folkston #5"	566	446	116	531	391	124
"GA"	2004	"Charlton County"	"Homeland #4"	562	392	168	492	303	168
"GA"	2004	"Charlton County"	"Racepond #5"	54	45	9	50	33	16
"GA"	2004	"Charlton County"	"St. George #3"	314	270	44	249	189	53
"GA"	2004	"Charlton County"	"The GA Bend #3"	185	153	31	151	106	38
"GA"	2004	"Charlton County"	"Traders Hill #3"	237	203	32	215	180	32
"GA"	2004	"Charlton County"	"Winokur #5"	142	110	31	133	89	36
"GA"	2004	"Chatham County"	"#8 Fire Station"	364	149	209	355	148	201
"GA"	2004	"Chatham County"	"Aldersgate Youth Center"	1043	458	579	1015	450	544
"GA"	2004	"Chatham County"	"American Legion Post #135"	352	82	266	338	77	245
"GA"	2004	"Chatham County"	"Bamboo Farms"	944	555	385	923	532	384
"GA"	2004	"Chatham County"	"Baptist Student Center"	695	428	263	680	424	244
"GA"	2004	"Chatham County"	"Bartlett Middle School"	465	185	275	456	179	264
"GA"	2004	"Chatham County"	"Beach High School"	230	11	219	222	11	207
"GA"	2004	"Chatham County"	"Bethesda Museum"	876	622	252	864	622	233
"GA"	2004	"Chatham County"	"Bible Baptist Church"	980	121	856	959	122	827
