state	year	county	precinct	g2000_USP_dv	g2000_USP_rv	g2000_USP_tv	g2000_USS_dv	g2000_USS_rv	g2000_USS_tv	g2000_USH_dv	g2000_USH_rv	g2000_USH_tv	g2000_GOV_dv	g2000_GOV_rv	g2000_GOV_tv	cd	ld
"MT"	2000	"Beaverhead"	"1"	108	274	382	172	242	414	186	223	409	169	244	413	1	34
"MT"	2000	"Beaverhead"	"12"	179	332	511	216	314	530	229	301	530	213	326	539	1	34
"MT"	2000	"Beaverhead"	"14"	69	154	223	116	148	264	128	129	257	112	154	266	1	34
"MT"	2000	"Beaverhead"	"17"	4	38	42	15	37	52	9	39	48	14	34	48	1	34
"MT"	2000	"Beaverhead"	"19"	4	63	67	6	60	66	12	56	68	9	61	70	1	34
"MT"	2000	"Beaverhead"	"2"	46	372	418	97	332	429	92	331	423	80	354	434	1	34
"MT"	2000	"Beaverhead"	"20"	4	84	88	11	78	89	12	77	89	9	81	90	1	34
"MT"	2000	"Beaverhead"	"21"	17	131	148	21	130	151	36	112	148	24	127	151	1	34
"MT"	2000	"Beaverhead"	"23"	25	80	105	35	74	109	36	68	104	38	69	107	1	34
"MT"	2000	"Beaverhead"	"18"	1	32	33	5	30	35	4	29	33	6	29	35	1	33
"MT"	2000	"Beaverhead"	"3"	87	345	432	141	319	460	158	301	459	155	310	465	1	34
"MT"	2000	"Beaverhead"	"4"	34	140	174	46	133	179	56	123	179	44	139	183	1	34
"MT"	2000	"Beaverhead"	"5"	5	109	114	14	100	114	20	95	115	15	103	118	1	34
"MT"	2000	"Beaverhead"	"6"	117	354	471	172	311	483	190	291	481	180	310	490	1	34
"MT"	2000	"Beaverhead"	"7"	35	237	272	59	217	276	70	207	277	58	222	280	1	34
"MT"	2000	"Beaverhead"	"8"	4	73	77	10	70	80	11	69	80	10	68	78	1	34
"MT"	2000	"Beaverhead"	"9"	60	295	355	104	267	371	109	264	373	110	260	370	1	34
"MT"	2000	"Big Horn"	"1"	81	130	211	94	122	216	100	120	220	106	116	222	1	6
"MT"	2000	"Big Horn"	"10"	3	64	67	11	54	65	10	58	68	10	58	68	1	5
"MT"	2000	"Big Horn"	"14"	113	45	158	110	35	145	133	29	162	126	36	162	1	6
"MT"	2000	"Big Horn"	"15"	206	48	254	216	34	250	226	38	264	216	52	268	1	6
"MT"	2000	"Big Horn"	"17"	99	211	310	135	177	312	139	183	322	155	162	317	1	6
"MT"	2000	"Big Horn"	"18"	99	140	239	128	117	245	120	134	254	128	122	250	1	6
"MT"	2000	"Big Horn"	"19"	167	243	410	205	199	404	210	221	431	215	204	419	1	5
"MT"	2000	"Big Horn"	"2"	49	57	106	58	49	107	60	44	104	56	54	110	1	6
"MT"	2000	"Big Horn"	"21"	315	94	409	320	77	397	335	79	414	345	72	417	1	6
