state	year	county	precinct	g2008_USP_dv	g2008_USP_rv	g2008_USP_tv	g2008_USS_dv	g2008_USS_rv	g2008_USS_tv	g2008_USH_dv	g2008_USH_rv	g2008_USH_tv	g2008_GOV_dv	g2008_GOV_rv	g2008_GOV_tv	g2008_STS_dv	g2008_STS_rv	g2008_STS_tv	g2008_STH_dv	g2008_STH_rv	g2008_STH_tv	cd	ld	sd
"MT"	2008	"Beaverhead"	"1"	254	234	488	366	127	493	177	297	474	340	147	487	222	259	481	191	292	483	1	72	36
"MT"	2008	"Beaverhead"	"2"	171	428	599	374	225	599	96	493	589	286	311	597	159	438	597	119	481	600	1	72	36
"MT"	2008	"Beaverhead"	"3"	179	424	603	360	234	594	109	490	599	264	331	595	135	456	591	113	483	596	1	72	36
"MT"	2008	"Beaverhead"	"4"	49	140	189	103	85	188	34	150	184	92	90	182	47	142	189	20	167	187	1	72	36
"MT"	2008	"Beaverhead"	"5"	13	98	111	50	63	113	7	104	111	35	73	108	12	101	113	9	106	115	1	72	36
"MT"	2008	"Beaverhead"	"6"	217	287	504	374	137	511	123	376	499	321	186	507	184	323	507	125	378	503	1	72	36
"MT"	2008	"Beaverhead"	"7"	70	202	272	179	97	276	46	230	276	132	138	270	86	195	281	54	223	277	1	72	36
"MT"	2008	"Beaverhead"	"8"	16	59	75	36	37	73	12	60	72	26	44	70	12	59	71	8	63	71	1	72	36
"MT"	2008	"Beaverhead"	"9"	120	271	391	269	133	402	79	317	396	211	190	401	131	268	399	92	304	396	1	72	36
"MT"	2008	"Beaverhead"	"12"	252	274	526	410	115	525	132	384	516	351	177	528	193	318	511	152	365	517	1	72	36
"MT"	2008	"Beaverhead"	"14"	160	193	353	380	87	467	115	232	347	254	105	359	164	194	358	139	218	357	1	72	36
"MT"	2008	"Beaverhead"	"17"	18	63	81	51	34	85	13	69	82	29	56	85	18	66	84	18	63	81	1	72	36
"MT"	2008	"Beaverhead"	"19"	20	75	95	50	32	82	13	80	93	37	58	95	19	74	93	21	70	91	1	72	36
"MT"	2008	"Beaverhead"	"20"	9	72	81	48	35	83	4	76	80	21	61	82	6	76	82	10	71	81	1	72	36
"MT"	2008	"Beaverhead"	"21"	30	105	135	92	46	138	15	123	138	62	72	134	25	112	137	22	112	134	1	72	36
"MT"	2008	"Beaverhead"	"23"	39	83	122	91	31	122	34	89	123	73	50	123	49	69	118	31	89	120	1	72	36
"MT"	2008	"Big Horn"	"3E"	9	39	48	27	20	47	5	41	46	13	32	45	6	37	43	5	34	39	1	41	21
"MT"	2008	"Big Horn"	"4E"	30	56	86	58	28	86	16	71	87	42	45	87	23	64	87	29	50	79	1	41	21
"MT"	2008	"Big Horn"	"5"	231	53	284	255	29	284	205	70	275	234	45	279	226	55	281	221	56	277	1	41	21
"MT"	2008	"Big Horn"	"6"	15	62	77	44	34	78	4	72	76	21	56	77	10	64	74	5	67	72	1	41	21
"MT"	2008	"Big Horn"	"10"	8	48	56	25	31	56	8	48	56	12	43	55	10	44	54	4	49	53	1	41	21
"MT"	2008	"Big Horn"	"14"	190	55	245	213	38	251	175	68	243	212	37	249	192	58	250	193	59	252	1	41	21
"MT"	2008	"Big Horn"	"19"	232	219	451	345	109	454	141	302	443	257	195	452	164	295	459	182	243	425	1	41	21
"MT"	2008	"Big Horn"	"25"	48	17	65	55	15	70	44	24	68	51	14	65	45	22	67	46	21	67	1	41	21
"MT"	2008	"Big Horn"	"26"	274	65	339	308	34	342	226	109	335	299	49	348	284	60	344	264	76	340	1	41	21
"MT"	2008	"Big Horn"	"1"	97	111	208	157	51	208	64	143	207	100	97	197	77	129	206	82	119	201	1	42	21
"MT"	2008	"Big Horn"	"2"	71	72	143	90	53	143	53	85	138	91	49	140	73	69	142	69	78	147	1	42	21
"MT"	2008	"Big Horn"	"3"	17	61	78	44	36	80	9	71	80	26	49	75	14	63	77	10	64	74	1	42	21
"MT"	2008	"Big Horn"	"4"	30	98	128	85	40	125	16	112	128	29	96	125	11	114	125	24	99	123	1	42	21
"MT"	2008	"Big Horn"	"7"	865	73	938	900	53	953	742	179	921	869	70	939	834	108	942	828	118	946	1	42	21
"MT"	2008	"Big Horn"	"8"	88	60	148	118	29	147	64	82	146	98	50	148	78	67	145	83	60	143	1	42	21
"MT"	2008	"Big Horn"	"9"	202	19	221	211	18	229	174	44	218	204	22	226	196	30	226	197	32	229	1	42	21
"MT"	2008	"Big Horn"	"15"	312	72	384	346	41	387	248	128	376	336	49	385	314	61	375	315	67	382	1	42	21
"MT"	2008	"Big Horn"	"17"	220	188	408	334	74	408	144	264	408	252	151	403	151	255	406	189	212	401	1	42	21
"MT"	2008	"Big Horn"	"18"	157	179	336	235	101	336	98	229	327	158	174	332	99	232	331	121	206	327	1	42	21
"MT"	2008	"Big Horn"	"21"	420	81	501	450	54	504	360	123	483	420	77	497	395	108	503	403	105	508	1	42	21
"MT"	2008	"Blaine"	"3"	380	38	418	414	11	425	317	94	411	408	9	417	365		365	370		370	1	32	16
"MT"	2008	"Blaine"	"9"	142	5	147	143	5	148	118	27	145	144	4	148	143		143	140		140	1	32	16
"MT"	2008	"Blaine"	"10"	108	231	339	228	122	350	63	285	348	216	129	345	171		171	186		186	1	32	16
"MT"	2008	"Blaine"	"15"	363	24	387	378	8	386	276	103	379	376	9	385	367		367	368		368	1	32	16
"MT"	2008	"Blaine"	"17"	9	81	90	43	49	92	5	89	94	39	53	92	36		36	47		47	1	32	16
"MT"	2008	"Blaine"	"20"	87	14	101	101	2	103	65	39	104	99	4	103	97		97	92		92	1	32	16
"MT"	2008	"Blaine"	"1"	58	129	187	143	46	189	11	179	190	116	72	188				36	162	198	1	34	17
"MT"	2008	"Blaine"	"8"	265	185	450	384	78	462	166	286	452	358	96	454				210	253	463	1	34	17
"MT"	2008	"Blaine"	"11"	263	365	628	483	161	644	134	503	637	427	214	641				198	452	650	1	34	17
"MT"	2008	"Blaine"	"13"	27	67	94	62	30	92	13	81	94	59	32	91				23	70	93	1	34	17
"MT"	2008	"Broadwater"	"1"	93	149	242	151	99	250	63	176	239	145	103	248		187	187	98	139	237	1	68	34
"MT"	2008	"Broadwater"	"7"	78	96	174	124	53	177	52	123	175	115	64	179		125	125	87	89	176	1	68	34
"MT"	2008	"Broadwater"	"12"	82	205	287	146	58	204	57	144	201	135	67	202		145	145	111	85	196	1	68	34
"MT"	2008	"Broadwater"	"13"	50	137	187	102	90	192	38	148	186	88	103	191		155	155	62	122	184	1	68	34
"MT"	2008	"Broadwater"	"11"	62	169	231	127	105	232	40	193	233	117	115	232				85	149	234	1	83	42
"MT"	2008	"Carbon"	"1"	149	280	429	301	134	435	106	324	430	262	165	427				141	268	409	1	57	29
"MT"	2008	"Carbon"	"2"	118	151	269	203	64	267	83	190	273	189	86	275				166	111	277	1	59	30
"MT"	2008	"Carbon"	"3"	100	234	334	213	129	342	69	268	337	176	166	342				133	210	343	1	59	30
"MT"	2008	"Carbon"	"4"	120	180	300	224	90	314	83	228	311	206	108	314				189	134	323	1	59	30
"MT"	2008	"Carbon"	"5"	96	261	357	231	118	349	54	291	345	201	159	360				141	220	361	1	59	30
"MT"	2008	"Carbon"	"6"	127	199	326	254	83	337	65	262	327	226	113	339				159	175	334	1	59	30
"MT"	2008	"Carbon"	"7"	153	276	429	315	128	443	90	340	430	275	165	440				205	240	445	1	59	30
"MT"	2008	"Carbon"	"8"	307	183	490	395	86	481	194	274	468	373	114	487				355	139	494	1	59	30
"MT"	2008	"Carbon"	"9"	277	128	405	345	69	414	201	182	383	339	71	410				306	102	408	1	59	30
"MT"	2008	"Carbon"	"10"	222	151	373	307	65	372	152	199	351	284	93	377				245	132	377	1	59	30
"MT"	2008	"Carbon"	"11"	441	387	828	613	217	830	280	533	813	575	265	840				526	311	837	1	59	30
"MT"	2008	"Carbon"	"12"	56	103	159	122	39	161	36	123	159	91	71	162				66	93	159	1	59	30
"MT"	2008	"Carbon"	"14"	56	117	173	120	52	172	39	132	171	101	74	175				73	100	173	1	59	30
"MT"	2008	"Carbon"	"15"	119	264	383	244	140	384	65	319	384	213	173	386				179	211	390	1	59	30
"MT"	2008	"Carbon"	"16"	78	145	223	148	66	214	49	172	221	117	105	222				102	123	225	1	59	30
"MT"	2008	"Carbon"	"13"	24	49	73	50	22	72	20	54	74	41	33	74				38	38	76	1	60	30
"MT"	2008	"Carter"	"1"	12	90	102	40	65	105	2	103	105	13	88	101					82	82	1	39	20
"MT"	2008	"Carter"	"3"	4	37	41	21	20	41	3	42	45	9	37	46					37	37	1	39	20
"MT"	2008	"Carter"	"13"	60	133	193	154	47	201	31	166	197	111	88	199					123	123	1	39	20
"MT"	2008	"Carter"	"14"	35	313	348	229	125	354	9	346	355	121	230	351					259	259	1	39	20
"MT"	2008	"Cascade"	"18A"	512	608	1120	835	261	1096	273	830	1103	686	406	1092	461	569	1030	381	718	1099	1	18	9
"MT"	2008	"Cascade"	"18B"	700	1050	1750	1256	481	1737	366	1360	1726	1041	680	1721	645	965	1610	521	1196	1717	1	18	9
"MT"	2008	"Cascade"	"18C"	566	799	1365	1018	346	1364	296	1064	1360	874	507	1381	558	722	1280	454	902	1356	1	18	9
"MT"	2008	"Cascade"	"18D"	98	122	220	183	45	228	59	155	214	166	52	218	116	93	209	93	128	221	1	18	9
"MT"	2008	"Cascade"	"18E"	86	101	187	146	46	192	42	150	192	136	56	192	92	92	184	60	129	189	1	18	9
"MT"	2008	"Cascade"	"18F"	107	204	311	219	100	319	60	252	312	196	116	312	129	191	320	99	218	317	1	18	9
"MT"	2008	"Cascade"	"18G"	136	205	341	243	105	348	87	259	346	212	133	345	126	216	342	114	225	339	1	18	9
"MT"	2008	"Cascade"	"19A"	64	108	172	120	57	177	41	132	173	114	63	177	66	107	173	71	105	176	1	19	10
"MT"	2008	"Cascade"	"19B"	318	439	757	565	207	772	179	587	766	511	256	767	326	432	758	299	446	745	1	19	10
"MT"	2008	"Cascade"	"19C"	186	254	440	319	122	441	110	325	435	267	168	435	191	241	432	168	257	425	1	19	10
"MT"	2008	"Cascade"	"19D"	570	529	1099	913	207	1120	343	746	1089	858	254	1112	625	448	1073	587	494	1081	1	19	10
"MT"	2008	"Cascade"	"19E"	331	379	710	537	180	717	177	548	725	511	205	716	340	363	703	298	396	694	1	19	10
"MT"	2008	"Cascade"	"19F"	397	541	938	697	259	956	232	708	940	643	303	946	472	476	948	329	625	954	1	19	10
"MT"	2008	"Cascade"	"19G"	167	257	424	297	139	436	98	332	430	278	153	431	206	223	429	173	262	435	1	19	10
"MT"	2008	"Cascade"	"20A"	670	530	1200	1018	232	1250	388	843	1231	935	321	1256	661	551	1212	671	541	1212	1	20	10
"MT"	2008	"Cascade"	"20B"	634	473	1107	914	209	1123	378	722	1100	888	231	1119	635	451	1086	643	430	1073	1	20	10
"MT"	2008	"Cascade"	"20C"	602	672	1274	988	279	1267	369	886	1255	845	418	1263	580	645	1225	597	621	1218	1	20	10
"MT"	2008	"Cascade"	"21A"	613	305	918	775	174	949	382	538	920	768	169	937				591	285	876	1	18	9
"MT"	2008	"Cascade"	"21B"	863	771	1634	1323	312	1635	485	1146	1631	1195	452	1647				817	797	1614	1	18	9
"MT"	2008	"Cascade"	"21C"	676	667	1343	1078	282	1360	388	958	1346	1002	356	1358				709	609	1318	1	18	9
"MT"	2008	"Cascade"	"22A"	540	245	785	671	136	807	326	430	756	655	136	791				569		569	1	22	11
"MT"	2008	"Cascade"	"22B"	658	513	1171	935	274	1209	392	770	1162	878	307	1185				800		800	1	22	11
"MT"	2008	"Cascade"	"22C"	817	646	1463	1202	272	1474	460	990	1450	1139	329	1468				1048		1048	1	22	11
"MT"	2008	"Cascade"	"23A"	577	313	890	735	173	908	355	514	869	739	165	904				507	376	883	1	23	12
"MT"	2008	"Cascade"	"23B"	660	451	1111	915	220	1135	390	710	1100	862	248	1110				558	549	1107	1	23	12
"MT"	2008	"Cascade"	"23C"	692	517	1209	949	267	1216	377	816	1193	922	289	1211				592	597	1189	1	23	12
"MT"	2008	"Cascade"	"24A"	332	451	783	507	259	766	223	515	738	478	268	746				303	425	728	1	24	12
"MT"	2008	"Cascade"	"24B"	520	471	991	819	208	1027	329	670	999	768	245	1013				524	473	997	1	24	12
"MT"	2008	"Cascade"	"24C"	218	163	381	311	81	392	126	251	377	304	87	391				207	178	385	1	24	12
"MT"	2008	"Cascade"	"25A"	526	505	1031	836	232	1068	293	751	1044	741	305	1046				630	339	969	1	25	13
"MT"	2008	"Cascade"	"25B"	857	716	1573	1346	257	1603	437	1143	1580	1243	354	1597				1100	400	1500	1	25	13
"MT"	2008	"Cascade"	"25C"	780	794	1574	1237	360	1597	392	1167	1559	1152	447	1599				992	480	1472	1	25	13
"MT"	2008	"Cascade"	"25D"	324	379	703	546	163	709	154	527	681	509	191	700				389	252	641	1	25	13
"MT"	2008	"Cascade"	"26A"	532	278	810	702	134	836	302	513	815	694	127	821				624	193	817	1	26	13
"MT"	2008	"Cascade"	"26B"	641	522	1163	993	241	1234	400	796	1196	945	277	1222				863	340	1203	1	26	13
"MT"	2008	"Cascade"	"26C"	158	160	318	268	67	335	91	234	325	239	89	328				181	132	313	1	26	13
"MT"	2008	"Cascade"	"26D"	310	346	656	507	180	687	175	491	666	495	174	669				404	262	666	1	26	13
"MT"	2008	"Cascade"	"26E"	226	373	599	426	191	617	127	481	608	380	231	611				293	298	591	1	26	13
"MT"	2008	"Chouteau"	"1"	156	185	341	269	82	351	74	268	342	261	86	347				190	153	343	1	28	14
"MT"	2008	"Chouteau"	"2"	134	206	340	261	77	338	69	274	343	221	124	345				145	193	338	1	28	14
"MT"	2008	"Chouteau"	"3"	148	159	307	259	60	319	65	244	309	231	78	309				165	140	305	1	28	14
"MT"	2008	"Chouteau"	"4"	57	99	156	104	46	150	27	124	151	101	54	155				53	99	152	1	28	14
"MT"	2008	"Chouteau"	"5"	34	75	109	76	29	105	15	94	109	61	45	106				35	67	102	1	28	14
"MT"	2008	"Chouteau"	"7"	32	77	109	83	33	116	11	105	116	65	48	113				41	70	111	1	28	14
"MT"	2008	"Chouteau"	"8"	180	289	469	353	127	480	68	411	479	308	175	483				209	262	471	1	28	14
"MT"	2008	"Chouteau"	"6"	79	207	286	202	86	288	35	250	285	170	120	290				100	175	275	1	29	15
"MT"	2008	"Chouteau"	"9"	42	131	173	128	52	180	18	161	179	96	83	179				43	138	181	1	29	15
"MT"	2008	"Chouteau"	"10"	65	101	166	134	39	173	23	145	168	119	54	173				80	87	167	1	29	15
"MT"	2008	"Chouteau"	"11"	63	104	167	136	38	174	32	139	171	122	52	174				79	94	173	1	29	15
"MT"	2008	"Chouteau"	"12"	132	1	133	129	2	131	98	30	128	132	1	133	115		115	116		116	1	32	16
"MT"	2008	"Custer"	"6"	146	255	401	285	110	395	75	315	390	235	162	397					310	310	1	39	20
"MT"	2008	"Custer"	"8"	15	80	95	52	49	101	11	87	98	50	50	100	13	87	100	24	71	95	1	39	20
"MT"	2008	"Custer"	"9"	5	11	16	13	3	16	5	11	16	11	4	15					14	14	1	39	20
"MT"	2008	"Custer"	"10"	7	30	37	21	17	38	3	36	39	11	27	38					36	36	1	39	20
"MT"	2008	"Custer"	"11"	1	28	29	15	13	28	0	28	28	4	24	28					26	26	1	39	20
"MT"	2008	"Custer"	"12"	2	30	32	21	10	31	1	30	31	10	21	31					29	29	1	39	20
"MT"	2008	"Custer"	"13"	3	44	47	22	26	48	1	50	51	12	39	51					44	44	1	39	20
"MT"	2008	"Custer"	"14"	2	26	28	16	11	27	0	30	30	6	19	25					26	26	1	39	20
"MT"	2008	"Custer"	"1"	470	412	882	710	199	909	295	587	882	658	239	897				545	358	903	1	40	20
"MT"	2008	"Custer"	"2"	447	546	993	782	203	985	256	722	978	607	378	985				514	488	1002	1	40	20
"MT"	2008	"Custer"	"3"	515	666	1181	898	284	1182	306	869	1175	740	442	1182				611	576	1187	1	40	20
"MT"	2008	"Custer"	"4"	472	536	1008	778	238	1016	282	708	990	719	288	1007				575	432	1007	1	40	20
"MT"	2008	"Custer"	"5"	93	165	258	197	60	257	38	215	253	145	112	257				70	172	242	1	45	23
"MT"	2008	"Custer"	"7"	89	218	307	193	110	303	51	257	308	145	159	304				65	224	289	1	45	23
"MT"	2008	"Daniels"	"2"	58	95	153	103	50	153	37	118	155	100	56	156	69	90	159	104	50	154	1	36	18
"MT"	2008	"Daniels"	"3"	38	180	218	124	83	207	21	194	215	86	128	214	41	183	224	141	81	222	1	36	18
"MT"	2008	"Daniels"	"4"	41	76	117	87	35	122	24	99	123	67	56	123	44	75	119	72	46	118	1	36	18
"MT"	2008	"Daniels"	"5"	100	182	282	210	74	284	50	232	282	169	113	282	101	189	290	225	62	287	1	36	18
"MT"	2008	"Daniels"	"6"	106	161	267	192	75	267	65	201	266	179	88	267	101	167	268	225	47	272	1	36	18
"MT"	2008	"Dawson"	"5"	71	165	236	144	103	247	42	204	246	127	122	249		212	212		205	205	1	37	19
"MT"	2008	"Dawson"	"6A"	7	29	36	21	14	35	5	31	36	12	24	36		29	29		29	29	1	37	19
"MT"	2008	"Dawson"	"7"	15	54	69	29	42	71	8	63	71	21	49	70		56	56		56	56	1	37	19
"MT"	2008	"Dawson"	"1"	142	191	333	238	108	346	100	234	334	203	140	343		270	270	191	155	346	1	38	19
"MT"	2008	"Dawson"	"2"	269	288	557	429	143	572	197	355	552	404	162	566		454	454	384	190	574	1	38	19
"MT"	2008	"Dawson"	"3"	298	478	776	555	242	797	213	566	779	472	319	791		631	631	494	300	794	1	38	19
"MT"	2008	"Dawson"	"4"	188	268	456	352	124	476	143	321	464	312	153	465		384	384	313	160	473	1	38	19
"MT"	2008	"Dawson"	"6B"	10	25	35	18	16	34	4	30	34	13	21	34		29	29	11	23	34	1	38	19
"MT"	2008	"Dawson"	"8"	148	329	477	346	152	498	116	372	488	276	222	498		406	406	278	212	490	1	38	19
"MT"	2008	"Dawson"	"10"	381	676	1057	741	349	1090	239	844	1083	627	462	1089		907	907	609	479	1088	1	38	19
"MT"	2008	"Dawson"	"6C"	7	28	35	20	17	37	5	34	39	13	26	39					35	35	1	39	20
"MT"	2008	"Dawson"	"9"	57	108	165	119	47	166	32	139	171	96	77	173					135	135	1	39	20
"MT"	2008	"Deer.Lodge"	"01A"	139	57	196	177	23	200	96	90	186	159	34	193	159	36	195	119	67	186	1	85	43
"MT"	2008	"Deer.Lodge"	"1A"	346	140	486	456	53	509	276	210	486	454	48	502	420	86	506	357	150	507	1	85	43
"MT"	2008	"Deer.Lodge"	"2A"	2	2	4	3	1	4	0	4	4	2	2	4	3	1	4	0	2	2	1	85	43
"MT"	2008	"Deer.Lodge"	"3A"	18	3	21	21	0	21	10	10	20	22	0	22	21	0	21	17	2	19	1	85	43
"MT"	2008	"Deer.Lodge"	"4A"	31	13	44	42	3	45	32	9	41	39	4	43	34	10	44	37	7	44	1	85	43
"MT"	2008	"Deer.Lodge"	"5A"	37	8	45	49	5	54	23	24	47	50	4	54	48	6	54	35	15	50	1	85	43
"MT"	2008	"Deer.Lodge"	"6A"	9	6	15	11	4	15	5	9	14	13	2	15	11	3	14	6	8	14	1	85	43
"MT"	2008	"Deer.Lodge"	"7A"	74	41	115	111	16	127	60	66	126	108	19	127	105	23	128	87	40	127	1	85	43
"MT"	2008	"Deer.Lodge"	"8"	232	113	345	291	66	357	169	181	350	307	53	360	279	77	356	228	125	353	1	85	43
"MT"	2008	"Deer.Lodge"	"9"	170	149	319	246	84	330	122	204	326	259	74	333	241	82	323	177	145	322	1	85	43
"MT"	2008	"Deer.Lodge"	"1"	338	175	513	416	90	506	239	267	506	433	85	518	395	113	508	363		363	1	86	43
"MT"	2008	"Deer.Lodge"	"2"	351	163	514	468	62	530	260	262	522	466	61	527	432	85	517	399		399	1	86	43
"MT"	2008	"Deer.Lodge"	"3"	506	184	690	654	75	729	413	300	713	668	63	731	632	98	730	572		572	1	86	43
"MT"	2008	"Deer.Lodge"	"4"	349	125	474	435	47	482	274	203	477	430	54	484	419	68	487	415		415	1	86	43
"MT"	2008	"Deer.Lodge"	"5"	260	117	377	321	62	383	198	165	363	324	54	378	310	74	384	316		316	1	86	43
"MT"	2008	"Deer.Lodge"	"6"	451	139	590	564	57	621	361	237	598	565	56	621	527	85	612	532		532	1	86	43
"MT"	2008	"Deer.Lodge"	"7"	77	32	109	99	16	115	71	39	110	100	10	110	95	19	114	105		105	1	86	43
"MT"	2008	"Deer.Lodge"	"10"	12	35	47	29	17	46	8	39	47	20	27	47	16	26	42	22		22	1	86	43
"MT"	2008	"Fallon"	"1"	96	278	374	247	138	385	52	319	371	199	169	368					302	302	1	39	20
"MT"	2008	"Fallon"	"2"	109	273	382	245	131	376	70	307	377	205	169	374					295	295	1	39	20
"MT"	2008	"Fallon"	"3"	53	245	298	185	112	297	38	256	294	146	148	294					224	224	1	39	20
"MT"	2008	"Fallon"	"4"	36	173	209	124	88	212	14	190	204	93	116	209					155	155	1	39	20
"MT"	2008	"Fallon"	"7"	19	61	80	51	24	75	10	74	84	37	44	81					54	54	1	39	20
"MT"	2008	"Fallon"	"8"	5	34	39	27	17	44	5	35	40	16	22	38					33	33	1	39	20
"MT"	2008	"Fergus"	"3"	210	474	684	437	249	686	117	568	685	341	345	686				266	382	648	1	29	15
"MT"	2008	"Fergus"	"4"	79	243	322	219	104	323	34	296	330	158	171	329				142	166	308	1	29	15
"MT"	2008	"Fergus"	"6"	185	262	447	312	135	447	104	339	443	271	173	444				221	196	417	1	29	15
"MT"	2008	"Fergus"	"7"	140	240	380	234	137	371	87	280	367	215	165	380				163	193	356	1	29	15
"MT"	2008	"Fergus"	"8"	116	257	373	253	117	370	58	307	365	234	146	380				143	221	364	1	29	15
"MT"	2008	"Fergus"	"16"	85	244	329	212	112	324	29	303	332	140	190	330				83	234	317	1	29	15
"MT"	2008	"Fergus"	"18"	28	75	103	56	49	105	18	86	104	47	56	103				29	67	96	1	29	15
"MT"	2008	"Fergus"	"2"	134	355	489	276	211	487	104	382	486	234	263	497				179	294	473	1	30	15
"MT"	2008	"Fergus"	"5"	66	257	323	208	117	325	43	282	325	141	185	326				132	192	324	1	30	15
"MT"	2008	"Fergus"	"9"	129	238	367	261	113	374	75	285	360	227	144	371				170	182	352	1	30	15
"MT"	2008	"Fergus"	"10"	157	218	375	261	119	380	94	278	372	239	145	384				191	172	363	1	30	15
"MT"	2008	"Fergus"	"11"	176	254	430	311	120	431	109	313	422	266	166	432				225	189	414	1	30	15
"MT"	2008	"Fergus"	"13"	160	284	444	313	123	436	81	368	449	255	198	453				214	228	442	1	30	15
"MT"	2008	"Fergus"	"14"	110	218	328	229	107	336	65	272	337	185	153	338				130	202	332	1	30	15
"MT"	2008	"Fergus"	"15"	3	58	61	29	30	59	3	60	63	17	42	59				12	49	61	1	30	15
"MT"	2008	"Fergus"	"17"	155	431	586	328	245	573	93	488	581	239	348	587				180	390	570	1	30	15
"MT"	2008	"Flathead"	"14"	401	502	903	628	307	935	280	595	875	581	331	912	417	479	896	347	566	913	1	3	2
"MT"	2008	"Flathead"	"16"	344	423	767	566	231	797	220	537	757	541	246	787	373	412	785	369	410	779	1	3	2
"MT"	2008	"Flathead"	"17"	113	94	207	146	57	203	88	111	199	145	61	206	116	86	202	132	75	207	1	3	2
"MT"	2008	"Flathead"	"17*"	28	57	85	52	31	83	22	62	84	41	43	84	31	56	87	32	53	85	1	3	2
"MT"	2008	"Flathead"	"21"	161	294	455	297	165	462	106	350	456	277	184	461	153	313	466	164	299	463	1	3	2
"MT"	2008	"Flathead"	"21*"	408	605	1013	655	388	1043	284	711	995	660	379	1039	445	593	1038	447	593	1040	1	3	2
"MT"	2008	"Flathead"	"35"	446	682	1128	740	403	1143	312	783	1095	706	427	1133	447	678	1125	479	637	1116	1	3	2
"MT"	2008	"Flathead"	"20"	510	339	849	657	204	861	352	432	784	642	211	853	437	409	846	531	305	836	1	4	2
"MT"	2008	"Flathead"	"44"	644	739	1383	944	465	1409	435	924	1359	881	523	1404	599	815	1414	612	771	1383	1	4	2
"MT"	2008	"Flathead"	"46"	411	369	780	565	220	785	302	445	747	532	248	780	327	462	789	414	362	776	1	4	2
"MT"	2008	"Flathead"	"47"	704	401	1105	858	250	1108	506	539	1045	854	255	1109	630	469	1099	709	385	1094	1	4	2
"MT"	2008	"Flathead"	"48"	687	622	1309	943	370	1313	477	784	1261	908	412	1320	596	726	1322	682	623	1305	1	4	2
"MT"	2008	"Flathead"	"6"	222	505	727	420	314	734	139	587	726	350	386	736	259	459	718	187	514	701	1	5	3
"MT"	2008	"Flathead"	"7"	453	967	1420	857	547	1404	262	1137	1399	750	677	1427	470	923	1393	366	1002	1368	1	5	3
"MT"	2008	"Flathead"	"8"	479	1095	1574	950	686	1636	312	1256	1568	905	705	1610	529	1062	1591	464	1084	1548	1	5	3
"MT"	2008	"Flathead"	"11"	292	801	1093	607	480	1087	176	896	1072	534	557	1091	338	751	1089	270	798	1068	1	5	3
"MT"	2008	"Flathead"	"19"	265	642	907	516	417	933	173	731	904	524	414	938	303	611	914	256	641	897	1	5	3
"MT"	2008	"Flathead"	"26"	111	304	415	242	182	424	76	335	411	229	194	423	123	288	411	137	241	378	1	6	3
"MT"	2008	"Flathead"	"26*"	13	33	46	26	18	44	10	34	44	26	20	46	12	33	45	18	27	45	1	6	3
"MT"	2008	"Flathead"	"30*"	685	1226	1911	1225	705	1930	455	1422	1877	1033	879	1912	782	1121	1903	789	1015	1804	1	6	3
"MT"	2008	"Flathead"	"36"	553	997	1550	937	655	1592	405	1127	1532	923	655	1578	728	831	1559	732	729	1461	1	6	3
"MT"	2008	"Flathead"	"39"	119	214	333	183	172	355	87	249	336	193	154	347	129	209	338	120	198	318	1	6	3
"MT"	2008	"Flathead"	"45"	198	193	391	258	138	396	153	226	379	259	134	393	179	204	383	182	182	364	1	6	3
"MT"	2008	"Flathead"	"49"	471	417	888	617	286	903	351	495	846	593	298	891	451	403	854	431	399	830	1	6	3
"MT"	2008	"Flathead"	"89"	241	513	754	468	293	761	162	566	728	426	329	755	269	475	744	283	388	671	1	6	3
"MT"	2008	"Flathead"	"25"	435	774	1209	837	428	1265	269	925	1194	790	450	1240				424	805	1229	1	7	4
"MT"	2008	"Flathead"	"41"	788	1281	2069	1325	744	2069	476	1556	2032	1165	906	2071				633	1402	2035	1	7	4
"MT"	2008	"Flathead"	"50"	316	730	1046	679	391	1070	188	848	1036	592	470	1062				299	730	1029	1	7	4
"MT"	2008	"Flathead"	"1"	267	304	571	398	191	589	172	383	555	357	213	570				273	303	576	1	8	4
"MT"	2008	"Flathead"	"2"	364	405	769	571	222	793	262	465	727	519	255	774				398	376	774	1	8	4
"MT"	2008	"Flathead"	"3"	408	437	845	604	243	847	307	513	820	568	270	838				441	414	855	1	8	4
"MT"	2008	"Flathead"	"4"	450	531	981	673	332	1005	310	651	961	632	349	981				483	507	990	1	8	4
"MT"	2008	"Flathead"	"32"	396	434	830	615	250	865	289	539	828	569	272	841				437	413	850	1	8	4
"MT"	2008	"Flathead"	"38"	700	1341	2041	1223	829	2052	481	1493	1974	1097	935	2032				712	1293	2005	1	9	5
"MT"	2008	"Flathead"	"42"	278	599	877	519	362	881	208	650	858	498	384	882				313	548	861	1	9	5
"MT"	2008	"Flathead"	"43"	448	917	1365	801	589	1390	320	1020	1340	761	606	1367				438	875	1313	1	9	5
"MT"	2008	"Flathead"	"13"	360	788	1148	682	470	1152	244	864	1108	600	550	1150				292	857	1149	1	10	5
"MT"	2008	"Flathead"	"29"	384	804	1188	719	472	1191	268	884	1152	635	547	1182				273	915	1188	1	10	5
"MT"	2008	"Flathead"	"33"	278	644	922	595	358	953	173	739	912	538	394	932				229	692	921	1	3	2
